age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y,age_group
39,management,married,3,0,661,1,0,unknown,3,6,0.06,3,-1,0,unknown,0,25-50yrs
53,management,married,3,0,1014,0,1,cellular,19,11,0.02,2,-1,0,unknown,0,above 50yrs
40,technician,married,2,0,84,1,0,cellular,8,8,0.03,3,-1,0,unknown,0,25-50yrs
55,blue-collar,married,2,0,471,1,0,unknown,30,5,0.02,2,-1,0,unknown,0,above 50yrs
56,entrepreneur,divorced,3,0,386,0,0,cellular,21,11,0.02,4,-1,0,unknown,0,above 50yrs
43,blue-collar,married,2,0,470,1,1,unknown,26,5,0.05,1,-1,0,unknown,0,25-50yrs
60,blue-collar,married,1,0,3820,0,0,unknown,15,5,0.05,1,-1,0,unknown,0,above 50yrs
54,management,divorced,3,0,787,0,0,cellular,6,8,0.02,2,-1,0,unknown,0,above 50yrs
31,blue-collar,married,2,0,-112,1,0,cellular,12,5,0.16,2,-1,0,unknown,0,25-50yrs
43,technician,married,3,0,5145,0,0,cellular,7,8,0.01,7,-1,0,unknown,0,25-50yrs
47,blue-collar,married,1,0,4666,0,0,unknown,14,5,0.13,3,-1,0,unknown,0,25-50yrs
52,technician,married,2,0,0,0,0,cellular,29,8,0.02,2,-1,0,unknown,0,above 50yrs
36,blue-collar,single,2,0,35,1,0,unknown,3,6,0.12,3,-1,0,unknown,0,25-50yrs
31,management,married,3,0,477,1,0,cellular,21,11,0.02,5,-1,0,unknown,0,25-50yrs
29,unemployed,single,2,0,486,0,0,telephone,14,8,0.04,1,106,1,failure,0,25-50yrs
34,blue-collar,married,1,0,46,1,1,unknown,19,5,0.05,1,-1,0,unknown,0,25-50yrs
34,services,married,2,0,286,1,0,unknown,21,5,0.2,1,-1,0,unknown,0,25-50yrs
34,blue-collar,single,2,0,4536,1,0,cellular,21,11,0.27,1,-1,0,unknown,1,25-50yrs
31,management,married,3,0,8279,0,0,cellular,6,8,0.15,2,-1,0,unknown,0,25-50yrs
31,self-employed,single,3,1,-282,1,0,cellular,20,11,0.04,3,-1,0,unknown,0,25-50yrs
51,services,married,2,0,-178,1,1,unknown,29,5,0.01,1,-1,0,unknown,0,above 50yrs
44,entrepreneur,married,2,0,-20,0,0,unknown,28,5,0.05,3,-1,0,unknown,0,25-50yrs
39,management,married,2,0,18,1,0,cellular,21,8,0.03,1,91,1,failure,0,25-50yrs
51,blue-collar,married,2,0,-286,1,0,unknown,9,5,0.02,1,-1,0,unknown,0,above 50yrs
35,blue-collar,single,2,0,0,1,0,cellular,16,4,0.33,1,345,4,other,1,25-50yrs
35,housemaid,married,3,0,11219,0,0,cellular,12,8,0.19,2,79,1,failure,0,25-50yrs
40,technician,single,3,0,539,0,0,cellular,14,8,0.03,2,-1,0,unknown,0,25-50yrs
34,unemployed,single,3,0,786,0,0,cellular,28,8,0.03,11,-1,0,unknown,0,25-50yrs
36,blue-collar,married,2,0,0,1,0,cellular,30,7,0.05,6,-1,0,unknown,0,25-50yrs
42,blue-collar,married,2,0,3743,1,0,unknown,14,5,0.04,1,-1,0,unknown,0,25-50yrs
33,blue-collar,married,2,0,2279,1,0,telephone,12,5,0.03,3,-1,0,unknown,0,25-50yrs
57,blue-collar,married,1,0,3109,0,0,cellular,15,9,0.03,2,105,2,success,1,above 50yrs
43,blue-collar,married,1,0,533,1,0,cellular,14,5,0.07,2,370,1,other,0,25-50yrs
50,blue-collar,married,1,0,0,1,0,cellular,23,7,0.04,1,-1,0,unknown,0,25-50yrs
31,admin.,single,2,0,738,1,0,cellular,18,7,0.11,1,-1,0,unknown,0,25-50yrs
29,services,married,3,0,62,1,1,unknown,16,5,0.08,2,-1,0,unknown,0,25-50yrs
60,technician,married,0,0,148,1,0,unknown,19,5,0.04,1,-1,0,unknown,0,above 50yrs
54,self-employed,married,2,0,9,1,0,cellular,22,7,0.03,2,-1,0,unknown,0,above 50yrs
36,student,single,3,0,129,0,0,cellular,27,10,0.04,1,-1,0,unknown,1,25-50yrs
36,blue-collar,married,2,0,655,0,0,cellular,20,11,0.27,6,-1,0,unknown,0,25-50yrs
39,blue-collar,married,1,0,-119,0,0,unknown,17,6,0.04,6,-1,0,unknown,0,25-50yrs
30,technician,married,3,0,1570,1,0,cellular,26,5,0.07,1,-1,0,unknown,0,25-50yrs
50,management,married,1,0,15035,1,0,cellular,12,5,0.04,1,-1,0,unknown,0,25-50yrs
29,student,single,0,0,7585,0,0,telephone,17,8,0.03,1,-1,0,unknown,0,25-50yrs
34,unemployed,married,2,0,428,1,0,cellular,7,4,0.06,2,267,3,other,0,25-50yrs
56,retired,married,1,0,0,0,0,unknown,11,6,0.05,2,-1,0,unknown,0,above 50yrs
39,management,single,3,0,406,1,0,unknown,7,5,0.02,1,-1,0,unknown,0,25-50yrs
44,management,married,2,0,2897,0,0,cellular,5,4,0.08,1,180,4,other,0,25-50yrs
24,management,single,3,0,507,0,0,cellular,3,7,0.07,1,-1,0,unknown,1,under 25yrs
31,management,single,3,0,528,0,1,cellular,21,11,0.0,7,-1,0,unknown,0,25-50yrs
33,technician,single,2,0,3264,0,0,cellular,14,8,0.12,4,-1,0,unknown,0,25-50yrs
60,retired,married,1,0,71188,0,0,cellular,6,10,0.06,1,-1,0,unknown,0,above 50yrs
36,blue-collar,married,2,0,708,1,0,telephone,21,11,0.01,1,-1,0,unknown,0,25-50yrs
47,unknown,married,0,0,8,0,0,telephone,26,5,0.05,1,-1,0,unknown,0,25-50yrs
35,technician,married,3,0,2518,0,0,unknown,9,6,0.11,1,-1,0,unknown,0,25-50yrs
46,blue-collar,married,1,0,-271,1,0,cellular,25,7,0.02,2,-1,0,unknown,0,25-50yrs
32,entrepreneur,married,3,0,4465,1,0,unknown,21,5,0.04,2,-1,0,unknown,0,25-50yrs
49,entrepreneur,divorced,2,0,816,1,0,cellular,14,5,0.0,7,-1,0,unknown,0,25-50yrs
42,blue-collar,single,1,0,177,1,0,cellular,14,5,0.05,2,-1,0,unknown,0,25-50yrs
37,blue-collar,single,2,0,48,0,0,cellular,6,5,0.04,2,-1,0,unknown,0,25-50yrs
58,retired,married,3,0,4048,0,1,cellular,15,7,0.08,5,-1,0,unknown,0,above 50yrs
50,blue-collar,married,1,0,480,1,0,unknown,20,6,0.03,5,-1,0,unknown,0,25-50yrs
25,admin.,married,3,0,906,0,0,cellular,26,5,0.07,1,-1,0,unknown,1,under 25yrs
50,blue-collar,divorced,1,0,-19,1,0,cellular,21,7,0.11,11,-1,0,unknown,0,25-50yrs
48,technician,married,2,0,4265,1,0,unknown,13,5,0.06,2,-1,0,unknown,0,25-50yrs
30,technician,married,2,0,394,0,0,cellular,22,8,0.06,13,-1,0,unknown,0,25-50yrs
26,student,single,2,0,132,0,0,cellular,4,6,0.06,1,-1,0,unknown,1,25-50yrs
34,management,married,3,0,589,0,0,cellular,1,9,0.08,1,44,3,other,1,25-50yrs
58,unemployed,married,3,0,744,0,0,telephone,28,1,0.01,1,-1,0,unknown,0,above 50yrs
42,management,married,3,0,99,0,0,cellular,21,8,0.03,4,-1,0,unknown,0,25-50yrs
66,management,married,3,0,1048,1,0,cellular,23,6,0.27,2,-1,0,unknown,0,above 50yrs
30,technician,single,2,0,707,0,0,cellular,26,5,0.06,1,-1,0,unknown,0,25-50yrs
31,management,married,3,0,1343,1,1,unknown,21,5,0.02,1,-1,0,unknown,0,25-50yrs
37,services,married,2,0,343,1,1,cellular,7,5,0.03,1,304,7,failure,0,25-50yrs
46,technician,married,2,0,-220,1,0,cellular,25,7,0.06,1,-1,0,unknown,0,25-50yrs
49,services,married,2,0,-301,1,0,cellular,12,5,0.05,4,-1,0,unknown,0,25-50yrs
45,blue-collar,single,1,0,1006,0,0,unknown,20,6,0.03,1,-1,0,unknown,0,25-50yrs
26,technician,single,2,0,-213,0,1,cellular,21,7,0.12,5,-1,0,unknown,0,25-50yrs
37,management,married,3,0,2987,1,0,telephone,16,11,0.04,8,96,1,success,0,25-50yrs
46,blue-collar,single,2,0,-100,1,0,cellular,8,5,0.12,2,303,1,failure,0,25-50yrs
35,blue-collar,married,2,0,247,1,1,cellular,13,5,0.03,1,352,5,failure,0,25-50yrs
22,student,single,2,0,216,0,0,cellular,6,8,0.05,1,179,2,success,1,under 25yrs
65,retired,married,1,0,2173,0,0,cellular,14,4,0.02,1,-1,0,unknown,0,above 50yrs
26,unemployed,single,2,0,771,0,0,cellular,22,6,0.03,1,109,1,failure,0,25-50yrs
47,retired,married,2,0,-71,1,0,cellular,11,8,0.08,5,-1,0,unknown,0,25-50yrs
43,admin.,married,2,0,388,1,0,cellular,19,11,0.03,2,-1,0,unknown,0,25-50yrs
43,admin.,married,0,0,3485,0,0,unknown,18,6,0.03,1,-1,0,unknown,0,25-50yrs
59,retired,married,1,0,46,0,0,cellular,14,8,0.02,2,-1,0,unknown,0,above 50yrs
46,blue-collar,married,2,0,640,1,0,cellular,11,9,0.03,2,129,2,failure,1,25-50yrs
41,self-employed,married,2,1,0,1,0,cellular,17,11,0.22,1,-1,0,unknown,1,25-50yrs
31,technician,single,2,0,0,1,0,cellular,11,5,0.05,1,370,1,failure,0,25-50yrs
40,technician,married,2,0,109,1,0,unknown,6,5,0.04,2,-1,0,unknown,0,25-50yrs
32,management,married,3,0,263,0,0,cellular,22,8,0.05,1,-1,0,unknown,0,25-50yrs
33,blue-collar,married,1,0,-81,1,0,unknown,8,5,0.07,1,-1,0,unknown,0,25-50yrs
57,retired,married,1,0,341,1,0,telephone,18,5,0.01,10,-1,0,unknown,0,above 50yrs
59,retired,married,0,0,0,0,0,cellular,25,8,0.06,4,-1,0,unknown,0,above 50yrs
25,student,single,2,0,3165,0,0,telephone,20,10,0.07,2,-1,0,unknown,0,under 25yrs
20,student,single,2,0,210,0,0,cellular,14,8,0.03,1,-1,0,unknown,0,under 25yrs
33,blue-collar,married,1,0,1165,1,0,unknown,21,5,0.12,2,-1,0,unknown,0,25-50yrs
39,blue-collar,single,1,0,554,0,0,telephone,31,7,0.01,5,-1,0,unknown,0,25-50yrs
37,management,single,3,0,457,1,0,cellular,1,4,0.14,3,-1,0,unknown,0,25-50yrs
44,self-employed,single,3,0,149,1,0,unknown,19,5,0.09,10,-1,0,unknown,0,25-50yrs
59,admin.,single,2,0,848,0,0,unknown,5,6,0.02,1,-1,0,unknown,0,above 50yrs
38,technician,married,2,0,13,0,0,cellular,21,8,0.09,2,-1,0,unknown,0,25-50yrs
44,blue-collar,married,1,0,4581,1,0,cellular,15,4,0.14,3,146,2,failure,0,25-50yrs
39,services,single,2,0,326,1,0,unknown,27,5,0.03,1,-1,0,unknown,0,25-50yrs
58,entrepreneur,single,3,1,6162,0,1,telephone,3,2,0.03,1,-1,0,unknown,0,above 50yrs
59,blue-collar,married,2,0,16869,0,0,cellular,19,11,0.03,1,-1,0,unknown,0,above 50yrs
55,management,married,3,0,33,1,0,cellular,30,7,0.07,3,-1,0,unknown,0,above 50yrs
54,self-employed,married,2,0,534,1,0,cellular,2,2,0.05,1,188,4,failure,0,above 50yrs
56,management,married,1,0,-155,1,0,cellular,17,11,0.08,1,-1,0,unknown,0,above 50yrs
34,admin.,married,3,0,37,0,0,cellular,6,2,0.01,1,-1,0,unknown,0,25-50yrs
40,services,married,1,0,3559,1,0,unknown,20,5,0.04,8,-1,0,unknown,0,25-50yrs
40,blue-collar,married,2,0,-450,1,0,cellular,15,5,0.05,1,-1,0,unknown,0,25-50yrs
60,management,married,3,0,0,0,0,cellular,26,8,0.1,6,-1,0,unknown,0,above 50yrs
54,management,married,3,0,1014,0,1,cellular,30,4,0.07,1,162,2,failure,1,above 50yrs
46,self-employed,married,1,0,107,1,0,cellular,8,8,0.03,6,-1,0,unknown,0,25-50yrs
35,management,married,2,0,839,1,0,unknown,23,5,0.01,3,-1,0,unknown,0,25-50yrs
36,services,single,2,0,1482,1,0,cellular,18,11,0.05,2,174,1,other,0,25-50yrs
58,unemployed,married,2,0,18,0,0,cellular,31,7,0.02,1,-1,0,unknown,0,above 50yrs
28,management,single,3,0,-56,0,1,cellular,23,7,0.25,1,-1,0,unknown,0,25-50yrs
31,unemployed,married,3,0,232,1,0,cellular,13,5,0.01,3,-1,0,unknown,0,25-50yrs
31,self-employed,married,2,0,0,1,0,cellular,20,11,0.01,1,-1,0,unknown,0,25-50yrs
34,admin.,married,2,0,-191,1,0,cellular,17,7,0.04,6,-1,0,unknown,0,25-50yrs
58,technician,married,2,0,0,1,0,cellular,5,2,0.51,1,205,1,failure,0,above 50yrs
37,blue-collar,married,1,0,7,0,0,unknown,6,6,0.05,1,-1,0,unknown,0,25-50yrs
37,management,divorced,3,0,1170,1,1,cellular,18,5,0.03,1,-1,0,unknown,0,25-50yrs
28,student,single,2,0,0,1,0,unknown,15,5,0.04,3,-1,0,unknown,0,25-50yrs
27,technician,single,2,0,292,1,0,telephone,18,5,0.01,4,-1,0,unknown,0,25-50yrs
54,blue-collar,married,1,0,836,1,0,telephone,21,11,0.09,1,130,3,other,0,above 50yrs
23,student,single,3,0,577,0,0,cellular,27,4,0.01,3,-1,0,unknown,0,under 25yrs
30,self-employed,single,3,0,655,0,0,cellular,23,9,0.08,4,184,1,success,1,25-50yrs
41,entrepreneur,divorced,3,0,0,1,0,cellular,17,11,0.05,1,-1,0,unknown,0,25-50yrs
32,admin.,single,2,0,299,1,0,cellular,20,4,0.05,2,348,2,failure,0,25-50yrs
31,technician,married,3,0,702,0,1,cellular,29,1,0.04,3,182,29,failure,0,25-50yrs
42,self-employed,married,2,0,2,1,0,cellular,14,5,0.01,5,-1,0,unknown,0,25-50yrs
32,admin.,married,2,0,1604,0,1,cellular,7,7,0.17,1,-1,0,unknown,1,25-50yrs
25,student,single,2,0,486,0,0,cellular,13,9,0.08,3,199,4,failure,1,under 25yrs
31,management,single,3,0,18,0,0,cellular,8,8,0.02,2,-1,0,unknown,0,25-50yrs
33,blue-collar,single,3,0,700,0,0,cellular,9,2,0.04,1,88,1,success,1,25-50yrs
69,retired,married,2,0,0,0,0,cellular,28,4,0.05,2,126,2,other,1,above 50yrs
39,technician,married,2,0,116,0,0,cellular,24,8,0.02,2,94,2,success,0,25-50yrs
26,blue-collar,single,2,0,-29,1,0,unknown,8,5,0.05,1,-1,0,unknown,0,25-50yrs
30,admin.,married,2,0,1165,0,0,cellular,25,5,0.06,1,35,2,failure,0,25-50yrs
35,technician,married,3,0,108,1,0,cellular,31,7,0.02,3,-1,0,unknown,0,25-50yrs
33,blue-collar,single,2,0,687,1,0,cellular,6,2,0.05,2,273,1,failure,0,25-50yrs
51,technician,married,2,0,221,1,0,unknown,7,5,0.04,3,-1,0,unknown,0,above 50yrs
28,blue-collar,married,1,0,459,1,1,unknown,3,6,0.05,1,-1,0,unknown,0,25-50yrs
37,blue-collar,single,2,0,240,1,0,unknown,6,5,0.07,1,-1,0,unknown,0,25-50yrs
49,entrepreneur,married,1,0,282,1,1,cellular,13,5,0.03,1,-1,0,unknown,0,25-50yrs
31,admin.,married,2,0,3540,1,0,cellular,21,11,0.12,1,-1,0,unknown,0,25-50yrs
33,technician,married,2,0,3002,1,0,unknown,28,5,0.05,2,-1,0,unknown,0,25-50yrs
28,blue-collar,married,2,0,922,1,0,cellular,7,5,0.06,1,339,1,other,0,25-50yrs
29,entrepreneur,married,2,0,714,1,1,cellular,13,5,0.13,2,-1,0,unknown,1,25-50yrs
42,services,married,2,0,0,1,0,unknown,7,5,0.04,3,-1,0,unknown,0,25-50yrs
50,blue-collar,married,2,0,606,1,0,unknown,14,5,0.19,2,-1,0,unknown,0,25-50yrs
30,services,married,2,0,699,1,0,unknown,29,5,0.15,1,-1,0,unknown,0,25-50yrs
59,management,married,3,0,0,1,1,cellular,20,4,0.11,1,-1,0,unknown,1,above 50yrs
70,retired,married,1,0,3782,0,0,cellular,16,3,0.17,1,-1,0,unknown,0,above 50yrs
32,management,single,3,0,2619,1,0,unknown,26,5,0.03,14,-1,0,unknown,0,25-50yrs
28,blue-collar,single,2,0,56,1,0,unknown,23,5,0.02,1,-1,0,unknown,0,25-50yrs
42,entrepreneur,divorced,2,0,335,1,0,cellular,12,5,0.16,1,-1,0,unknown,1,25-50yrs
53,blue-collar,married,3,0,0,0,0,cellular,22,8,0.03,2,-1,0,unknown,0,above 50yrs
31,management,single,3,0,1130,1,0,cellular,17,4,0.06,3,74,4,failure,0,25-50yrs
57,blue-collar,married,2,0,621,1,0,cellular,17,4,0.22,3,-1,0,unknown,0,above 50yrs
43,management,married,3,0,1336,1,1,cellular,27,5,0.02,2,309,1,failure,0,25-50yrs
23,entrepreneur,married,3,0,489,0,1,cellular,18,8,0.07,4,-1,0,unknown,0,under 25yrs
28,blue-collar,married,1,0,324,1,0,unknown,5,5,0.05,1,-1,0,unknown,0,25-50yrs
54,management,married,3,0,3395,0,0,cellular,7,8,0.06,2,-1,0,unknown,0,above 50yrs
45,services,single,2,0,141,1,0,unknown,12,5,0.03,4,-1,0,unknown,0,25-50yrs
33,services,married,2,0,0,0,0,cellular,9,7,0.04,1,-1,0,unknown,0,25-50yrs
31,technician,married,2,1,-367,1,0,cellular,18,7,0.13,2,-1,0,unknown,1,25-50yrs
53,management,married,3,0,57,0,1,cellular,19,11,0.02,3,-1,0,unknown,0,above 50yrs
52,blue-collar,married,1,0,66653,0,0,cellular,14,8,0.03,3,-1,0,unknown,0,above 50yrs
44,technician,married,2,0,2776,1,0,cellular,27,1,0.19,1,-1,0,unknown,1,25-50yrs
55,retired,married,2,0,991,0,0,cellular,11,7,0.16,2,-1,0,unknown,0,above 50yrs
26,management,single,3,0,1004,1,0,unknown,30,5,0.06,2,-1,0,unknown,1,25-50yrs
40,self-employed,single,3,0,265,0,0,cellular,5,2,0.03,3,-1,0,unknown,0,25-50yrs
34,self-employed,single,3,0,5462,0,0,cellular,30,4,0.12,1,-1,0,unknown,1,25-50yrs
47,blue-collar,married,1,0,205,1,0,unknown,8,5,0.04,2,-1,0,unknown,0,25-50yrs
44,admin.,single,2,0,11,1,0,cellular,20,11,0.15,1,-1,0,unknown,0,25-50yrs
71,retired,married,3,0,653,0,0,telephone,3,9,0.13,1,189,1,success,1,above 50yrs
31,housemaid,married,2,0,3902,1,0,cellular,21,7,0.02,4,-1,0,unknown,0,25-50yrs
61,retired,married,1,0,103,0,0,cellular,7,12,0.08,1,-1,0,unknown,0,above 50yrs
34,admin.,married,2,0,0,1,0,cellular,15,5,0.02,2,-1,0,unknown,0,25-50yrs
33,services,divorced,2,0,991,1,0,unknown,27,5,0.04,1,-1,0,unknown,0,25-50yrs
33,technician,single,2,0,181,1,0,cellular,13,5,0.01,7,-1,0,unknown,0,25-50yrs
45,services,married,0,0,293,0,0,cellular,24,7,0.05,2,-1,0,unknown,0,25-50yrs
53,technician,divorced,2,0,447,1,1,cellular,11,7,0.03,1,-1,0,unknown,0,above 50yrs
53,technician,married,2,0,1344,0,0,cellular,19,8,0.02,6,-1,0,unknown,0,above 50yrs
28,admin.,single,2,0,2,1,0,cellular,24,7,0.13,1,-1,0,unknown,1,25-50yrs
33,admin.,single,2,0,101,1,0,unknown,6,5,0.11,1,-1,0,unknown,0,25-50yrs
35,technician,single,2,0,70,1,0,cellular,21,10,0.05,2,188,2,other,0,25-50yrs
36,management,married,3,0,0,1,0,unknown,2,6,0.44,3,-1,0,unknown,0,25-50yrs
31,services,married,2,1,29,0,0,cellular,21,11,0.07,3,-1,0,unknown,0,25-50yrs
35,entrepreneur,married,1,0,2643,0,1,cellular,8,7,0.07,1,-1,0,unknown,0,25-50yrs
45,blue-collar,divorced,2,0,756,1,0,unknown,6,5,0.05,2,-1,0,unknown,0,25-50yrs
36,blue-collar,married,1,0,59,1,0,cellular,6,5,0.06,2,-1,0,unknown,0,25-50yrs
37,management,married,3,0,9895,1,0,cellular,20,11,0.1,3,-1,0,unknown,0,25-50yrs
41,unemployed,married,1,0,183,1,0,cellular,29,7,0.08,1,-1,0,unknown,0,25-50yrs
27,services,single,2,0,261,1,1,cellular,18,5,0.03,1,-1,0,unknown,0,25-50yrs
41,management,divorced,3,0,369,1,0,telephone,22,8,0.0,3,-1,0,unknown,0,25-50yrs
37,technician,married,3,0,0,0,0,cellular,20,11,0.01,3,-1,0,unknown,0,25-50yrs
40,technician,married,3,0,162,0,0,cellular,7,8,0.07,3,-1,0,unknown,0,25-50yrs
44,technician,married,2,0,339,1,1,telephone,6,8,0.07,3,-1,0,unknown,0,25-50yrs
38,management,married,3,0,-113,1,0,cellular,17,4,0.04,1,323,3,failure,0,25-50yrs
48,management,divorced,3,0,851,0,1,unknown,23,5,0.26,3,-1,0,unknown,0,25-50yrs
33,student,single,2,0,1883,1,0,cellular,3,2,0.03,5,256,1,failure,0,25-50yrs
35,management,single,3,0,1045,1,0,unknown,21,5,0.02,1,-1,0,unknown,0,25-50yrs
35,entrepreneur,married,3,0,1859,1,0,cellular,14,7,0.06,2,-1,0,unknown,0,25-50yrs
26,blue-collar,single,2,0,2353,0,0,cellular,3,2,0.14,2,-1,0,unknown,0,25-50yrs
46,technician,married,2,0,0,0,0,cellular,30,4,0.06,1,259,2,other,1,25-50yrs
45,management,married,3,0,0,1,1,unknown,13,5,0.04,1,-1,0,unknown,0,25-50yrs
37,services,married,2,0,651,0,0,unknown,9,6,0.06,2,-1,0,unknown,0,25-50yrs
56,housemaid,single,3,0,1947,0,0,unknown,30,3,0.03,1,-1,0,unknown,1,above 50yrs
32,technician,married,2,0,3095,0,0,cellular,12,8,0.06,10,-1,0,unknown,0,25-50yrs
37,services,single,2,0,393,1,0,cellular,8,5,0.1,4,350,2,other,0,25-50yrs
37,blue-collar,married,2,0,1205,1,0,cellular,18,11,0.03,1,-1,0,unknown,0,25-50yrs
64,management,married,3,0,679,0,0,telephone,22,4,0.04,3,-1,0,unknown,0,above 50yrs
50,housemaid,married,1,0,1098,0,0,unknown,20,6,0.05,3,-1,0,unknown,0,25-50yrs
58,retired,married,3,0,5087,0,0,unknown,19,6,0.07,1,-1,0,unknown,0,above 50yrs
61,technician,married,3,0,1263,0,0,telephone,18,2,0.05,4,-1,0,unknown,0,above 50yrs
56,retired,married,1,0,842,0,1,unknown,5,6,0.03,1,-1,0,unknown,0,above 50yrs
35,blue-collar,married,1,0,0,1,1,cellular,2,2,0.19,2,271,2,other,0,25-50yrs
37,admin.,married,2,0,66,1,0,unknown,14,5,0.03,7,-1,0,unknown,0,25-50yrs
59,retired,married,3,0,1425,0,0,cellular,26,10,0.04,2,77,3,failure,0,above 50yrs
60,blue-collar,married,2,0,-223,0,1,cellular,22,7,0.08,2,-1,0,unknown,0,above 50yrs
32,blue-collar,single,2,0,2142,0,0,cellular,2,2,0.11,1,-1,0,unknown,0,25-50yrs
37,technician,married,2,0,177,1,0,cellular,16,7,0.13,3,-1,0,unknown,0,25-50yrs
46,housemaid,married,1,0,0,0,0,cellular,6,8,0.09,5,-1,0,unknown,0,25-50yrs
34,technician,married,3,0,555,1,0,cellular,7,8,0.04,18,-1,0,unknown,0,25-50yrs
46,self-employed,married,3,0,226,0,0,cellular,19,8,0.16,3,-1,0,unknown,0,25-50yrs
50,admin.,married,2,0,3608,1,0,cellular,13,11,0.05,2,197,2,success,1,25-50yrs
54,blue-collar,married,2,0,1636,0,0,telephone,20,7,0.28,2,-1,0,unknown,1,above 50yrs
42,services,married,1,0,124,1,0,cellular,2,2,0.05,2,262,2,failure,0,25-50yrs
33,technician,married,2,0,3000,1,1,cellular,2,7,0.04,1,-1,0,unknown,0,25-50yrs
50,technician,married,2,0,2218,1,0,cellular,17,8,0.2,1,-1,0,unknown,1,25-50yrs
50,housemaid,married,3,0,5260,1,0,cellular,24,7,0.01,2,-1,0,unknown,0,25-50yrs
48,management,married,3,0,14530,1,1,telephone,29,7,0.24,10,-1,0,unknown,0,25-50yrs
43,management,divorced,3,0,2367,0,0,cellular,22,9,0.02,1,113,3,success,1,25-50yrs
35,entrepreneur,married,3,0,542,1,1,unknown,27,5,0.16,5,-1,0,unknown,0,25-50yrs
35,blue-collar,married,2,0,0,1,0,cellular,17,4,0.06,1,-1,0,unknown,0,25-50yrs
36,unemployed,single,1,0,1729,0,0,cellular,21,11,0.09,1,-1,0,unknown,0,25-50yrs
27,entrepreneur,married,3,0,59,0,0,cellular,28,7,0.08,6,-1,0,unknown,0,25-50yrs
32,admin.,single,2,0,5,1,1,cellular,8,4,0.03,1,-1,0,unknown,0,25-50yrs
28,services,single,2,0,1950,0,0,cellular,9,7,0.04,1,-1,0,unknown,0,25-50yrs
32,management,single,3,0,111,1,0,unknown,8,5,0.05,2,-1,0,unknown,0,25-50yrs
60,retired,married,2,0,78,0,1,unknown,27,6,0.04,2,-1,0,unknown,0,above 50yrs
49,blue-collar,married,2,0,787,1,0,unknown,5,6,0.08,1,-1,0,unknown,0,25-50yrs
44,services,married,2,0,133,0,0,cellular,29,1,0.06,3,-1,0,unknown,0,25-50yrs
30,admin.,married,2,0,358,0,0,cellular,28,1,0.04,2,-1,0,unknown,0,25-50yrs
39,technician,single,2,0,391,0,1,cellular,30,7,0.27,4,-1,0,unknown,1,25-50yrs
34,services,married,2,0,2021,1,1,cellular,17,4,0.01,6,148,8,other,0,25-50yrs
52,blue-collar,married,1,0,1141,1,0,cellular,12,5,0.01,5,-1,0,unknown,0,above 50yrs
40,admin.,single,2,0,739,1,0,unknown,16,5,0.04,1,-1,0,unknown,0,25-50yrs
29,housemaid,married,1,0,0,1,0,cellular,15,7,0.09,3,-1,0,unknown,0,25-50yrs
42,entrepreneur,single,1,0,388,0,1,cellular,17,7,0.17,3,-1,0,unknown,0,25-50yrs
55,technician,married,2,0,0,0,0,unknown,6,5,0.04,3,-1,0,unknown,0,above 50yrs
